Distance (in),Time (s),X (in),Y (in),Velocity (in/s),Orientation (deg),Way X (in),Way Y (in),Way Velocity (in/s),Way Orientation (deg),Way Turn Radius (in)
235.02289496115839,1,497.0133920734608,216.12007972177796,235.02289496115839,90,,,,,
236.02287829457507,1,497.34440259639837,215.17647032122298,236.02287829457507,90,,,,,
237.02286162799174,1,497.6564759895477,214.22642986713726,237.02286162799174,90,,,,,
238.0228449614084,1,497.94948742771237,213.2703383630354,238.0228449614084,90,,,,,
239.02282829482508,1,498.2233197102239,212.30857823277128,239.02282829482508,90,,,,,
240.02281162824175,1,498.4778633078204,211.34153416757377,240.02281162824175,90,,,,,
241.02279496165843,1,498.7130164064567,210.36959297217516,241.02279496165843,90,,,,,
242.02277829507508,1,498.9286849480286,209.39314341009458,242.02277829507508,90,,,,,
243.02276162849174,1,499.124782667995,208.4125760481377,243.02276162849174,90,,,,,
244.02274496190842,1,499.3012311298827,207.42828310017526,244.02274496190842,90,,,,,
245.02272829532507,1,499.4579597566593,206.4406582702627,245.02272829532507,90,,,,,
246.02271162874175,1,499.594905858964,205.45009659516384,246.02271162874175,90,,,,,
247.02269496215843,1,499.7120146601817,204.4569942863414,247.02269496215843,90,,,,,
248.02267829557508,1,499.8092393183533,203.46174857147773,248.02267829557508,90,,,,,
249.02266162899173,1,499.8865409449119,202.464757535589,249.02266162899173,90,,,,,
250.0226449624084,1,499.9438886202376,201.4664199617965,250.0226449624084,90,,,,,
251.02262829582506,1,499.98125940602483,200.46713517181882,251.02262829582506,90,,,,,
252.02262829582506,1,499.98125940602483,199.46713517181882,252.02262829582506,90,,,,,
253.02262829582506,1,499.98125940602483,198.46713517181882,253.02262829582506,90,,,,,
254.02262829582506,1,499.98125940602483,197.46713517181882,254.02262829582506,90,,,,,
255.02262829582506,1,499.98125940602483,196.46713517181882,255.02262829582506,90,,,,,
256.02262829582503,1,499.98125940602483,195.46713517181882,256.02262829582503,90,,,,,
257.02262829582503,1,499.98125940602483,194.46713517181882,257.02262829582503,90,,,,,
258.02262829582503,1,499.98125940602483,193.46713517181882,258.02262829582503,90,,,,,
259.02262829582503,1,499.98125940602483,192.46713517181882,259.02262829582503,90,,,,,
260.02262829582503,1,499.98125940602483,191.46713517181882,260.02262829582503,90,,,,,
261.02262829582503,1,499.98125940602483,190.46713517181882,261.02262829582503,90,,,,,
262.02262829582503,1,499.98125940602483,189.46713517181882,262.02262829582503,90,,,,,
263.02262829582503,1,499.98125940602483,188.46713517181882,263.02262829582503,90,,,,,
264.02262829582503,1,499.98125940602483,187.46713517181882,264.02262829582503,90,,,,,
265.02262829582503,1,499.98125940602483,186.46713517181882,265.02262829582503,90,,,,,
266.02262829582503,1,499.98125940602483,185.46713517181882,266.02262829582503,90,,,,,
267.02262829582503,1,499.98125940602483,184.46713517181882,267.02262829582503,90,,,,,
268.02262829582503,1,499.98125940602483,183.46713517181882,268.02262829582503,90,,,,,
269.02262829582503,1,499.98125940602483,182.46713517181882,269.02262829582503,90,,,,,
270.02262829582503,1,499.98125940602483,181.46713517181882,270.02262829582503,90,,,,,
271.02262829582503,1,499.98125940602483,180.46713517181882,271.02262829582503,90,,,,,
272.02262829582503,1,499.98125940602483,179.46713517181882,272.02262829582503,90,,,,,
273.02262829582503,1,499.98125940602483,178.46713517181882,273.02262829582503,90,,,,,
274.02262829582503,1,499.98125940602483,177.46713517181882,274.02262829582503,90,,,,,
275.02262829582503,1,499.98125940602483,176.46713517181882,275.02262829582503,90,,,,,
276.02262829582503,1,499.98125940602483,175.46713517181882,276.02262829582503,90,,,,,
277.02262829582503,1,499.98125940602483,174.46713517181882,277.02262829582503,90,,,,,
278.02262829582503,1,499.98125940602483,173.46713517181882,278.02262829582503,90,,,,,
279.02262829582503,1,499.98125940602483,172.46713517181882,279.02262829582503,90,,,,,
280.02262829582503,1,499.98125940602483,171.46713517181882,280.02262829582503,90,,,,,
281.02262829582503,1,499.98125940602483,170.46713517181882,281.02262829582503,90,,,,,
282.02262829582503,1,499.98125940602483,169.46713517181882,282.02262829582503,90,,,,,
283.02262829582503,1,499.98125940602483,168.46713517181882,283.02262829582503,90,,,,,
